BN/Registration Number	Charity Name	Charity Status	Effective Date of Status	Sanction	Designation code	Category code	Address	City	Province	Country	Postal Code/Zip Code	
136747276RR0001	(A.C.C.E.S.) ACCESSIBLE COMMUNITY COUNSELLING AND EMPLOYMENT SERVICES	Registered	1987-08-15		C	20	489 COLLEGE ST., STE 100	TORONTO	ON	CA	M6G1A5	
893589069RR0001	(LES) BOUTS D'CHOUX	Registered	1989-11-25		C	20	98 ESSEX ST	TORONTO	ON	CA	M6G1T3	
822335261RR0001	(MEMFB) Mississauga East Malton Food Bank	Registered	2012-04-01		C	09	27 - 145 CLARENCE ST	BRAMPTON	ON	CA	L6W1T2	
893184473RR0001	(SHOUTERS) NATIONAL EVANGELICAL SPIRITUAL BAPTIST FAITH INTERNATIONAL CENTRE OF CANADA	Registered	1988-10-05		C	31	116 COURTLANDS DR.	SCARBOROUGH	ON	CA	M1B4M7	
820014751RR0001	Éducation sans frontières	Registered	2008-06-27		B	21	6 DEERGLEN DR	BRAMPTON	ON	CA	L6R1L9	
828222562RR0001	Église évangélique parole de foi d'Ottawa inc.	Registered	2009-05-25		C	39	320 RUE LAJOIE	VANIER OTTAWA	ON	CA	K1L7H4	
858042633RR0001	Église Évangélique de la Grâce Divine	Registered	2005-01-01		C	39	41 STONEMEADOW DR	KANATA	ON	CA	K2M2J9	
823347208RR0001	Église Évangélique la Main de l'Éternel	Registered	2011-06-30		C	39	2682 EGLITON AVENUE           P.O. BOX 44577	SCARBOROUGH	ON	CA	M1K5K2	
852527316RR0001	Église Évangélique Chrétienne Spirituelle	Registered	2010-08-16		C	39	305 13TH STREET WEST	CORNWALL	ON	CA	K6J3G7	
838381358RR0001	Église Évangélique Péniel d'Ottawa	Registered	2008-09-23		C	39	285, RUE QUEEN MARY	OTTAWA	ON	CA	K1K1X1	
820272334RR0001	Église Évangélique Sion la Montagne de l'Éternel (E.E.S.M.E.)	Registered	2013-09-09		C	39	2839A SANDAL WOOD DRIVE	OTTAWA	ON	CA	K1V7P4	
803350818RR0001	Église baptiste Haitienne Salem	Registered	2011-10-17		C	31	5 MERCHISON AVE	HAMILTON	ON	CA	L8H3C8	
723277521RR0001	Église le Roc	Registered	2017-05-09		C	39	224 RUE FRANCOISE,	ROCKLAND	ON	CA	K4K1G5	
809939887RR0001	Église missionnaire chrétienne d'Ottawa (EMCO) / Missionary Christian Church of Ottawa (MCCO)	Registered	2012-05-15		C	39	967 ST. LAURENT BLVD	OTTAWA	ON	CA	K1K3B1	
812189553RR0001	Église Baptiste de la Sainteté de Toronto - Toronto Holiness Baptist Church	Registered	2010-06-17		C	31	28 HOWDEN RD	SCARBOROUGH	ON	CA	M1R3C7	
832347736RR0001	Église Baptiste Salem d'Ottawa	Registered	2013-08-19		C	31	2732 COLMAN ST	OTTAWA	ON	CA	K1V8J9	
820506244RR0001	Église Catholique Eucharistique/The Eucharistic Catholic Church	Registered	2014-01-30		C	39	250 SEATON STREET	TORONTO	ON	CA	M5A2T4	
801801713RR0001	Église Chrétienne Apostolique (ECA)	Registered	2012-03-13		C	39	597 PETRICHOR CRES	ORLEANS	ON	CA	K4A0Y4	
817998305RR0001	Église Nouvel Espoir	Registered	2000-06-01		C	39	2224 RUE INNES	OTTAWA	ON	CA	K1B4C4	
811795632RR0001	Église Pentecôte francophone de Sudbury	Registered	2014-02-12		C	39	PO BOX 22032, NEW SUDBURY PLAZ555 BARRY DOWNE ROAD	SUDBURY	ON	CA	P3A3T1	
807041975RR0001	Église Pentecôtiste Goshene	Registered	2015-01-01		C	39	3 - 25 MONTREAL RD	VANIER	ON	CA	K1L6E8	
849923438RR0001	Église Saint Paul Apôtre des Syriaques Catholiques	Registered	2013-08-17		C	39	344 CYR AVENUE	OTTAWA	ON	CA	K1L7P1	
777871294RR0001	Église Santa Monica des Chaldéens Catholiques d'Ottawa	Registered	2016-03-23		C	39	356 RUE PRESTON	OTTAWA	ON	CA	K1S4M7	
852998475RR0001	ÉCOLE INTERNATIONALE ACADECAP INTERNATIONAL SCHOOL	Registered	2005-03-01		C	20	1010 PROMENADA MORRISON       SUITE 200	OTTAWA	ON	CA	K2H8K7	
868206921RR0001	ÉGLISE ÉVANGÉLIQUE DU NAZARÉEN D'OTTAWA	Registered	2001-01-01		C	39	PO BOX 46112 RPO BEACON HILL	GLOUCESTER	ON	CA	K1J9M7	
860585983RR0001	ÉGLISE BAPTISTE ÉVANGÉLIQUE DE L'EST DE L'ONTARIO	Registered	1980-01-01		C	31	C.P. 463	CASSELMAN	ON	CA	K0A1M0	
844485169RR0001	ÉGLISE LIBERTÉ OASIS DES NATIONS	Registered	2006-09-01		C	36	6328 SABLEWOOD PLACE	OTTAWA	ON	CA	K1C7M4	
812406486RR0001	Île d'Espoir	Registered	2012-12-20		C	39	363 WORTHINGTON AVE	RICHMOND HILL	ON	CA	L4E4S3	
130387665RR0075	#3 STRIKER AIR CADET SQUADRON SPONSORING COMMITTEE	Registered	2004-11-26		C	29	BOX 45, STN MAIN	STRATHROY	ON	CA	N7G3J1	
130387665RR0076	#543 Wingham Valiants Squadron Sponsoring Committee	Registered	2007-09-10		C	29	P.O. BOX 1364	WINGHAM	ON	CA	N0G2W0	
130387665RR0036	#638 ALGONQUIN SQUADRON	Registered	1990-09-01		C	29	PO BOX 1201 STN MAIN	PEMBROKE	ON	CA	K8A6Y6	
118789429RR0001	"ARGUS"- RESIDENCE FOR YOUNG PEOPLE	Registered	1986-12-30		C	01	PO BOX 22041                  RPO WATER ST	CAMBRIDGE	ON	CA	N1R8E3	
107445736RR0001	"Grachanica" Serbian Eastern Orthodox Church, Congregation of Windsor, Ontario, Canada	Registered	1973-01-01		C	39	BOX 2331 WALKERVILLE POSTAL S	WINDSOR	ON	CA	N8Y4S2	
851281857RR0001	"L & A Feline Fixers ('L&AFF')"	Registered	2009-08-05		C	54	1066 COUNTY RD 9              RR 3	NAPANEE	ON	CA	K7R3K8	
107396905RR0059	"LOVE ASSEMBLY" FOURSQUARE GOSPEL CHURCH	Registered	2003-09-02		C	39	P.O. BOX 60618                1597 WILSON AVENUE, DOWNSVIEW	TORONTO	ON	CA	M3L2N5	
891793580RR0001	"LOVING OUTREACH"	Registered	1992-03-09		C	09	112 - 278 VINE ST	ST CATHARINES	ON	CA	L2M7Z4	
131818122RR0001	"NEW LIFE" GIRLS' HOME (CANADA)	Registered	1989-01-01		C	01	PO BOX 149	CONSECON	ON	CA	K0K1T0	
891452765RR0001	"PERLAS"	Registered	1996-11-11		C	11	26 HOLYROOD AVE	OAKVILLE	ON	CA	L6K2V3	
893096057RR0001	"S S M " "STEVE SPARLING MINISTRIES"	Registered	1995-01-01		C	47	52 HOBBS DRIVE	BOWMANVILLE	ON	CA	L1C3L9	
821832037RR0001	"Stop Diabetes" Foundation Inc.	Registered	2015-01-01		C	11	43 VAUGHAN BLVD	THORNHILL	ON	CA	L4J3N8	
853419646RR0001	"THE LEST WE FORGET" REMEMBRANCE AND MILITARY LIBRARY	Registered	2003-02-11		C	50	375 PINE ST.	SAULT STE. MARIE	ON	CA	P6B3E6	
893208157RR0001	c2Sea Evangelistic Association and Network	Registered	1998-02-10		C	39	999 SYDENHAM ROAD	KINGSTON	ON	CA	K7M3L8	
814552840RR0001	iCompassion Foundation International	Registered	2015-03-20		C	09	83 CHRISTIE ST	TORONTO	ON	CA	M6G3B1	
824882849RR0001	iHealthSS Inc.	Registered	2013-06-04		B	11	150 GATESHEAD CRESCENT        UNIT 21	STONEY CREEK	ON	CA	L8G4A7	
829000181RR0001	love a village mission	Registered	2015-01-01		C	09	190 CASSANDRA BOULEVARD	TORONTO	ON	CA	M3A1T3	
107353682RR0001	missions 3D threshold	Registered	1977-09-26		C	49	1977 SNOW VALLEY RD	MINESING	ON	CA	L9X0H3	
844209312RR0001	myChurch	Registered	2010-10-18		C	39	1159B LONGFIELD DRIVE	OTTAWA	ON	CA	K2J5G3	
784805293RR0001	myTeam Triumph Canada - Toronto	Registered	2016-03-16		C	56	1481 THORNDYKE CRES	MISSISSAUGA	ON	CA	L4X1R4	
