BN/Registration Number	Charity Name	Charity Status	Effective Date of Status	Sanction	Designation code	Category code	Address	City	Province	Country	Postal Code/Zip Code	
784805293RR0001	myTeam Triumph Canada - Toronto	Registered	2016-03-16		C	56	1481 THORNDYKE CRES	MISSISSAUGA	ON	CA	L4X1R4	
887549285RR0001	A CHILD'S VOICE FOUNDATION-LA FONDATION UNE VOIX D'ENFANT	Registered	1995-02-22		C	09	3034 PALSTAN RD               SUITE 301	MISSISSAUGA	ON	CA	L4Y2Z6	
879145910RR0001	Al-Zahra Islamic Centre	Registered	2008-01-01		C	60	5100 MAINGATE DRIVE           UNIT 4	MISSISSAUGA	ON	CA	L4W1X6	
119132694RR0001	All Serbian Saints Serbian Orthodox Church	Registered	1971-01-01		C	39	2520 DIXIE ROAD	MISSISSAUGA	ON	CA	L4Y2A5	
834864035RR0001	Alliance Global Serve Canada	Registered	2014-01-01		C	47	5230 RIVER FOREST COURT	MISSISSAUGA	ON	CA	L5V2C7	
887593267RR0001	Anba Abraam Charity	Registered	1994-03-08		C	09	1250 EGLINTON AVE W           BOX 207 A-12	MISSISSAUGA	ON	CA	L5V1N3	
757966320RR0001	Apostolic Exarchate For The Syro-Malabar Catholics in Canada	Registered	2017-01-01		C	38	6630 TURNER VALLEY ROAD	MISSISSAUGA	ON	CA	L5N2P1	
850242413RR0001	Applewood Centre for Adult Learning	Registered	2008-06-25		C	11	3566 SOUTH COMMON COURT	MISSISSAUGA	ON	CA	L5L2B1	
850477134RR0001	Arbonne Charitable Foundation	Registered	2012-09-14		A	03	7135, KENNEDY ROAD	MISSISSAUGA	ON	CA	L5S0A6	
733846521RR0001	Archangel Raphael & St. Marina Coptic Orthodox Church	Registered	2017-01-31		C	39	1245 EGLINTON AVENUE WEST	MISSISSAUGA	ON	CA	L5V2M4	
813245636RR0001	Arirang Age-Friendly Community Centre	Registered	2016-05-31		C	09	205 - 130 DUNDAS ST E	MISSISSAUGA	ON	CA	L5A3V8	
819683202RR0001	At the Cross Ministries	Registered	2011-06-27		C	49	213 WHITCHURCH MEWS,	MISSISSAUGA	ON	CA	L5A4B2	
765947726RR0001	Ausum Charity for Autism	Registered	2015-06-19		C	09	76 BREMEN LANE	MISSISSAUGA	ON	CA	L5M2N5	
839009123RR0001	AARON BROCK FOUNDATION	Registered	2006-09-26		B	22	7464 TRANMERE DRIVE	MISSISSAUGA	ON	CA	L5S1K4	
881900401RR0001	ABBEY CAT ADOPTIONS	Registered	2003-07-22		C	54	PO BOX 20026                  1077 NORTH SERVICE ROAD #39	MISSISSAUGA	ON	CA	L4Y1A6	
894514595RR0001	ACORN TO OAK YOUTH SERVICES	Registered	1995-01-01		C	47	1224 DUNDAS STREET EAST       UNIT 16	MISSISSAUGA	ON	CA	L4Y4A2	
860327667RR0001	AFRICAN LEADERSHIP MISSION	Registered	2004-01-01		C	47	5228 SWIFTCURRENT TRAIL	MISSISSAUGA	ON	CA	L5R2H7	
861308906RR0001	AIM FOR SEVA	Registered	2007-01-01		C	21	2406 MISSISSAUGA RD	MISSISSAUGA	ON	CA	L5H2L1	
